roll_no,sub_code,internal_marks,external_marks,sgpa,total_marks
1783930010,REC352,36,33,6.67,69
1783930010,REC353,38,39,6.67,77
1783930010,REC354,36,35,6.67,71
1783930010,ROE047,24,50,6.88,74
1783930010,RAS402,21,27,6.88,48
1783930010,REC401,18,37,6.88,55
1783930010,REC402,18,42,6.88,60
1783930010,REC403,18,35,6.88,53
1783930010,RCS406,16,41,6.88,57
1783930010,REC451,41,38,6.88,79
1783930010,REC452,42,44,6.88,86
1783930010,REC453,44,48,6.88,92
1783930010,RCS456,41,42,6.88,83
1783930010,RAS501,23,37,6.71,60
1783930010,RAS502,23,51,6.71,74
1783930010,REC501A,17,38,6.71,55
1783930010,REC502,19,54,6.71,73
1783930010,REC503,10,49,6.71,59
1783930010,REC051,15,29,6.71,44
1783930010,REC551,39,38,6.71,77
1783930010,REC552,38,41,6.71,79
1783930010,REC553,35,40,6.71,75
1783930010,REC554,38,35,6.71,73
1783930010,RAS601,27,48,7.33,75
1783930010,RUC601,24,46,7.33,70
1783930010,RIC603,14,39,7.33,53
1783930010,REC601,19,42,7.33,61
1783930010,REC602,20,43,7.33,63
1783930010,REC064,19,42,7.33,61
1783930010,REC651,44,42,7.33,86
1783930010,REC652,38,40,7.33,78
1783930010,RIC653,37,40,7.33,77
1783930010,RIC651,33,39,7.33,72
1783930010,ROE072,25,43,7.33,68
1783930010,REC072,26,42,7.33,68
1783930010,REC075,26,39,7.33,65
1783930010,REC701,21,40,7.33,61
1783930010,REC702,26,28,7.33,54
1783930010,REC751,44,42,7.33,86
1783930010,REC752,36,42,7.33,78
1783930010,REC753,75,0,7.33,75
1783930010,REC754,160,0,7.33,160
1783930011,RAS101,24,51,8.46,75
1783930011,RAS102,25,53,8.46,78
1783930011,RAS103,27,53,8.46,80
1783930011,RME101,21,53,8.46,74
1783930011,RCS101,27,50,8.46,77
1783930011,RAS152,46,47,8.46,93
1783930011,RME151,41,46,8.46,87
1783930011,RCS151,47,48,8.46,95
1783930011,RCE151,43,40,8.46,83
1783930011,RAS203,25,63,8.33,88
1783930011,RAS201,20,61,8.33,81
1783930011,REE201,19,51,8.33,70
1783930011,RAS204,24,40,8.33,64
1783930011,REC201,24,50,8.33,74
1783930011,RAS251,44,44,8.33,88
1783930011,REE251,38,46,8.33,84
1783930011,RAS254,38,47,8.33,85
1783930011,RME252,30,42,8.33,72
1783930011,RAS301,23,50,8.25,73
1783930011,RVE301,18,33,8.25,51
1783930011,REE305,24,53,8.25,77
1783930011,REC301,19,44,8.25,63
